reference,text,same?,notes,verb,pronominal,verb_PGN,suffx_PGN,vb_Cl_type,pn_Cl_type,verb_ca,pron_ca
Judges 16:23,וְסַרְנֵ֣י פְלִשְׁתִּ֗ים נֶֽאֱסְפוּ֙ לִזְבֹּ֧חַ זֶֽבַח־גָּדֹ֛ול לְדָגֹ֥ון אֱלֹהֵיהֶ֖ם ,,,נֶֽאֱסְפוּ֙ ,אֱלֹהֵיהֶ֖ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WXQt,InfC,541034,541035
Judges 16:25,וַיִּקְרְא֨וּ לְשִׁמְשֹׁ֜ון מִבֵּ֣ית הָאֲסוּרִ֗ים וַיְצַחֵק֙ לִפְנֵיהֶ֔ם ,,,יִּקְרְא֨וּ ,פְנֵיהֶ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,Way0,541049,541050
Judges 19:26,וַתִּפֹּ֞ל פֶּ֧תַח בֵּית־הָאִ֛ישׁ אֲשֶׁר־אֲדֹונֶ֥יהָ שָּׁ֖ם ,,,תִּפֹּ֞ל ,אֲדֹונֶ֥יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",Way0,NmCl,541462,541463
Judges 19:27,וַיֵּצֵ֖א לָלֶ֣כֶת לְדַרְכֹּ֑ו ,,,יֵּצֵ֖א ,דַרְכֹּ֑ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,InfC,541467,541468
1_Samuel 1:18,וַתֹּאכַ֔ל וּפָנֶ֥יהָ לֹא־הָיוּ־לָ֖הּ עֹֽוד׃ ,,,תֹּאכַ֔ל ,פָנֶ֥יהָ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",Way0,WXQt,541881,541882
1_Samuel 4:18,וַיִּפֹּ֣ל מֵֽעַל־הַ֠כִּסֵּא אֲחֹ֨רַנִּ֜ית בְּעַ֣ד׀ יַ֣ד הַשַּׁ֗עַר וַתִּשָּׁבֵ֤ר מַפְרַקְתֹּו֙ ,,,יִּפֹּ֣ל ,מַפְרַקְתֹּו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WayX,542301,542302
1_Samuel 4:18-19,וְה֛וּא שָׁפַ֥ט אֶת־יִשְׂרָאֵ֖ל אַרְבָּעִ֥ים שָׁנָֽה׃ וְכַלָּתֹ֣ו אֵֽשֶׁת־פִּינְחָס֮ הָרָ֣ה ,,,שָׁפַ֥ט ,כַלָּתֹ֣ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WXQt,AjCl,542306,542307
1_Samuel 7:16-17,וְשָׁפַט֙ אֶת־יִשְׂרָאֵ֔ל אֵ֥ת כָּל־הַמְּקֹומֹ֖ות הָאֵֽלֶּה׃ וּתְשֻׁבָתֹ֤ו הָרָמָ֨תָה֙ ,,,שָׁפַט֙ ,תְשֻׁבָתֹ֤ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WQt0,NmCl,542559,542560
1_Samuel 14:27,וְיֹונָתָ֣ן לֹֽא־שָׁמַ֗ע בְּהַשְׁבִּ֣יעַ אָבִיו֮ אֶת־הָעָם֒ ,,,שָׁמַ֗ע ,אָבִיו֮ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WXQt,InfC,543375,543376
1_Samuel 14:27,וַיִּשְׁלַ֗ח אֶת־קְצֵ֤ה הַמַּטֶּה֙ אֲשֶׁ֣ר בְּיָדֹ֔ו ,,,יִּשְׁלַ֗ח ,יָדֹ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,NmCl,543377,543378
